-5.339355  35.973561
-5.147095  36.026889
-4.971313  36.129002
-4.790039  36.230981
-4.603271  36.310699
-4.367065  36.372645
-4.125366  36.337253
-3.977051  36.306272
-3.806763  36.248703
-3.66394  36.168923
-3.570557  36.075742
-3.493652  35.960223
-3.411255  35.813359
-3.339844  35.688533
-3.268433  35.590319
-3.136597  35.518814
-2.999268  35.572449
-2.922363  35.697456
-2.834473  35.844535
-2.741089  35.960223
-2.625732  36.102376
-2.48291  36.217687
-2.296143  36.297418
-2.081909  36.346103
-1.82373  36.306272
-1.664429  36.230981
-1.543579  36.111253
-1.422729  36.00023
-1.323853  35.8846
-1.175537  35.817813
-1.060181  35.813359
-0.895386  35.844535
-0.780029  35.906849
-0.653687  35.906849
-0.53833  35.875698
-0.461426  35.960223
-0.368042  36.00023
-0.236206  35.946883
-0.098877  35.924645
0.016479  36.031332
0.10437  36.164488
0.170288  36.279707
0.258179  36.363799
0.351563  36.408021
0.483398  36.372645
0.587769  36.368222
0.686646  36.44338
