dalx242.cnv	1	-0.336	36.751	5	29	2014	12	20	29
dalx233.cnv	2	-0.338	36.799	5	29	2014	13	25	9
dalx234.cnv	3	-0.338	36.845	5	29	2014	14	19	46
dalx235.cnv	4	-0.338	36.891	5	29	2014	15	8	18
dalx236.cnv	5	-0.338	36.938	5	29	2014	15	51	33
dalx237.cnv	6	-0.336	36.984	5	29	2014	16	37	0
dalx238.cnv	7	-0.338	37.031	5	29	2014	17	20	49
dalx227.cnv	8	-0.451	37.031	5	29	2014	18	27	11
dalx228.cnv	9	-0.455	36.985	5	29	2014	19	13	12
dalx229.cnv	10	-0.454	36.937	5	29	2014	20	0	15
dalx230.cnv	11	-0.454	36.891	5	29	2014	20	46	11
dalx231.cnv	12	-0.452	36.847	5	30	2014	5	56	13
dalx232.cnv	13	-0.453	36.800	5	30	2014	6	45	59
dalx241.cnv	14	-0.454	36.752	5	30	2014	7	29	53
dalx243.cnv	15	-0.569	36.753	5	30	2014	8	28	28
dalx217.cnv	16	-0.568	36.801	5	30	2014	9	11	47
dalx218.cnv	17	-0.568	36.847	5	30	2014	9	55	50
dalx219.cnv	18	-0.570	36.892	5	30	2014	10	36	52
dalx220.cnv	19	-0.568	36.939	5	30	2014	11	20	36
dalx221.cnv	20	-0.569	36.985	5	30	2014	12	1	47
dalx222.cnv	21	-0.570	37.032	5	30	2014	12	42	53
dalx244.cnv	22	-0.683	36.753	5	30	2014	17	56	45
dalx216.cnv	23	-0.684	36.800	5	30	2014	18	39	28
dalx215.cnv	24	-0.684	36.848	5	30	2014	19	20	54
dalx214.cnv	25	-0.684	36.893	5	30	2014	20	3	13
dalx213.cnv	26	-0.684	36.939	5	30	2014	20	41	54
dalx212.cnv	27	-0.685	36.986	5	30	2014	21	25	19
dalx211.cnv	28	-0.684	37.031	5	30	2014	22	4	36
