dalx101.cnv	1	-0.797	36.800	5	26	2014	6	10	17
dalx102.cnv	2	-0.799	36.846	5	26	2014	7	6	36
dalx103.cnv	3	-0.799	36.892	5	26	2014	7	58	45
dalx104.cnv	4	-0.798	36.940	5	26	2014	8	50	34
dalx105.cnv	5	-0.796	36.985	5	26	2014	9	42	0
dalx106.cnv	6	-0.797	37.031	5	26	2014	10	37	33
dalx107.cnv	7	-0.799	37.077	5	26	2014	11	20	32
dalx110.cnv	8	-0.684	37.077	5	26	2014	12	26	29
dalx111.cnv	9	-0.681	37.030	5	26	2014	13	20	15
dalx112.cnv	10	-0.681	36.985	5	26	2014	14	15	17
dalx113.cnv	11	-0.683	36.938	5	26	2014	15	13	31
dalx114.cnv	12	-0.681	36.891	5	26	2014	16	12	19
dalx115.cnv	13	-0.683	36.846	5	26	2014	16	57	29
dalx116.cnv	14	-0.681	36.800	5	26	2014	17	49	32
dalx117.cnv	15	-0.567	36.800	5	26	2014	18	43	52
dalx118.cnv	16	-0.562	36.847	5	26	2014	19	37	13
dalx119.cnv	17	-0.568	36.892	5	26	2014	20	26	1
dalx120.cnv	18	-0.568	36.938	5	26	2014	21	12	27
dalx121.cnv	19	-0.568	36.984	5	26	2014	22	0	20
dalx122.cnv	20	-0.569	37.031	5	27	2014	4	59	27
dalx123.cnv	21	-0.569	37.078	5	27	2014	5	48	8
dalx126.cnv	22	-0.454	37.077	5	27	2014	6	47	16
dalx127.cnv	23	-0.454	37.029	5	27	2014	7	40	13
dalx128.cnv	24	-0.455	36.983	5	27	2014	8	25	1
dalx129.cnv	25	-0.454	36.937	5	27	2014	9	5	28
dalx130.cnv	26	-0.453	36.891	5	27	2014	9	47	25
dalx131.cnv	27	-0.453	36.845	5	27	2014	10	30	46
dalx132.cnv	28	-0.453	36.799	5	27	2014	11	11	10
dalx133.cnv	29	-0.340	36.800	5	27	2014	13	31	10
dalx134.cnv	30	-0.338	36.845	5	27	2014	14	13	3
dalx135.cnv	31	-0.341	36.891	5	27	2014	14	58	28
dalx137.cnv	32	-0.340	36.983	5	27	2014	16	25	29
dalx138.cnv	33	-0.339	37.031	5	27	2014	17	10	28
dalx139.cnv	34	-0.338	37.076	5	27	2014	17	52	48
dalx141.cnv	35	-0.452	36.752	5	27	2014	11	51	40
dalx142.cnv	36	-0.338	36.753	5	27	2014	12	47	30
